M243: [2, 1, 2, 5, 5, 2, 1, 2, 3, 3]
M244: [2, 1, 2, 5, 5, 3, 1, 4, 4, 5]
M245: [3, 1, 3, 5, 4, 2, 1, 3, 3, 3]
M246: [2, 1, 3, 5, 4, 3, 1, 3, 4, 2]
M247: [2, 1, 2, 4, 4, 3, 2, 3, 6, 1]
M248: [4, 2, 4, 5, 3, 2, 1, 2, 4, 5]
M249: [3, 2, 3, 4, 3, 2, 1, 2, 5, 1]
M250: [2, 1, 2, 2, 6, 2, 3, 4, 4, 4]
M251: [2, 1, 2, 2, 6, 3, 3, 4, 4, 5]
M252: [2, 1, 2, 3, 6, 2, 2, 3, 3, 2]
M253: [2, 1, 3, 3, 5, 2, 2, 3, 3, 2]
M254: [3, 1, 3, 2, 5, 2, 2, 3, 3, 2]
M255: [3, 2, 2, 2, 5, 2, 2, 3, 3, 2]
M256: [2, 1, 2, 2, 6, 3, 4, 4, 5, 5]
M257: [2, 1, 2, 3, 6, 2, 3, 3, 4, 2]
M258: [2, 1, 3, 3, 5, 2, 3, 3, 4, 2]
M259: [3, 1, 3, 2, 5, 2, 3, 3, 4, 2]
M260: [3, 2, 2, 2, 5, 2, 3, 3, 4, 2]
M261: [2, 1, 2, 3, 5, 1, 2, 2, 3, 1]
M262: [2, 1, 2, 4, 6, 1, 2, 2, 3, 3]
M263: [2, 1, 3, 4, 5, 1, 2, 2, 2, 2]
M264: [3, 1, 3, 3, 5, 1, 2, 2, 2, 2]
M265: [3, 2, 2, 3, 5, 1, 2, 2, 2, 2]
M266: [2, 1, 3, 3, 4, 1, 2, 2, 3, 1]
M267: [2, 1, 4, 4, 4, 1, 2, 2, 3, 3]
M268: [3, 1, 4, 3, 4, 1, 2, 2, 2, 2]
M269: [3, 2, 3, 3, 4, 1, 2, 2, 2, 2]
M270: [3, 1, 4, 3, 5, 1, 3, 3, 5, 2]
M271: [3, 2, 3, 3, 5, 1, 3, 3, 5, 2]
M272: [3, 1, 3, 2, 4, 1, 2, 2, 3, 1]
M273: [4, 1, 4, 2, 4, 1, 2, 2, 3, 3]
M274: [4, 1, 4, 2, 4, 1, 2, 3, 3, 4]
M275: [4, 2, 3, 2, 4, 1, 2, 2, 2, 2]
M276: [4, 2, 3, 2, 4, 1, 2, 3, 3, 2]
M277: [4, 3, 2, 2, 4, 1, 2, 2, 3, 3]
M278: [2, 1, 2, 4, 5, 1, 2, 4, 1, 4]
M279: [2, 1, 2, 5, 6, 1, 2, 4, 4, 5]
M280: [3, 1, 3, 4, 5, 1, 2, 2, 3, 2]
M281: [3, 2, 2, 4, 5, 1, 2, 2, 3, 2]
M282: [2, 1, 3, 5, 5, 1, 2, 3, 4, 2]
M283: [3, 1, 3, 4, 5, 1, 2, 3, 4, 2]
M284: [3, 2, 2, 4, 5, 1, 2, 3, 4, 2]
M285: [3, 1, 4, 4, 5, 1, 2, 2, 4, 2]
M286: [3, 2, 3, 4, 5, 1, 2, 2, 4, 2]
M287: [2, 1, 3, 5, 5, 2, 2, 4, 4, 2]
M288: [3, 1, 3, 4, 5, 2, 2, 4, 4, 2]
M289: [3, 2, 2, 4, 5, 2, 2, 4, 4, 2]
M290: [2, 1, 3, 4, 4, 1, 2, 3, 3, 1]
M291: [2, 1, 4, 5, 4, 1, 2, 3, 3, 3]
M292: [3, 1, 4, 4, 4, 1, 2, 3, 2, 2]
M293: [3, 2, 3, 4, 4, 1, 2, 3, 2, 2]
M294: [3, 2, 3, 4, 5, 2, 2, 3, 4, 2]
M295: [3, 1, 3, 3, 4, 1, 2, 3, 3, 1]
M296: [4, 1, 4, 3, 4, 1, 2, 3, 3, 3]
M297: [4, 2, 3, 3, 4, 1, 2, 3, 2, 2]
M298: [4, 3, 2, 3, 4, 1, 2, 3, 3, 3]
M299: [2, 1, 4, 4, 4, 1, 2, 4, 1, 5]
M300: [2, 1, 5, 5, 4, 1, 2, 4, 4, 6]
M301: [3, 1, 5, 4, 4, 1, 2, 3, 5, 2]
M302: [3, 2, 4, 4, 4, 1, 2, 3, 5, 2]
M303: [3, 1, 4, 3, 4, 1, 2, 4, 3, 1]
M304: [4, 1, 5, 3, 4, 1, 2, 4, 3, 3]
M305: [4, 2, 4, 3, 4, 1, 2, 4, 2, 2]
M306: [4, 3, 3, 3, 4, 1, 2, 4, 3, 3]
M307: [4, 1, 4, 2, 3, 1, 2, 4, 1, 4]
M308: [5, 1, 5, 2, 3, 1, 2, 4, 4, 5]
M309: [5, 2, 4, 2, 3, 1, 2, 3, 4, 2]
M310: [5, 3, 3, 2, 3, 1, 2, 3, 3, 3]
M311: [3, 1, 2, 2, 6, 5, 5, 5, 5, 6]
M312: [3, 1, 3, 3, 5, 4, 4, 4, 4, 3]
M313: [2, 2, 2, 3, 5, 4, 4, 4, 4, 2]
M314: [3, 2, 3, 3, 6, 4, 4, 4, 4, 5]
M315: [3, 1, 3, 4, 5, 3, 3, 3, 1, 4]
M316: [2, 2, 2, 4, 5, 3, 3, 3, 1, 3]
M317: [3, 2, 2, 3, 5, 4, 4, 4, 1, 6]
M318: [3, 2, 3, 4, 4, 3, 3, 3, 2, 5]
M319: [3, 1, 3, 4, 5, 3, 3, 3, 2, 3]
M320: [2, 2, 2, 4, 5, 3, 3, 3, 2, 2]
M321: [3, 1, 4, 2, 4, 3, 3, 3, 2, 3]
M322: [3, 1, 4, 3, 5, 3, 3, 3, 1, 4]
M323: [3, 2, 3, 2, 5, 4, 4, 4, 1, 6]
M324: [3, 2, 4, 2, 4, 3, 3, 3, 2, 4]
M325: [3, 2, 4, 3, 4, 3, 3, 3, 1, 4]
M326: [3, 1, 4, 4, 4, 3, 3, 3, 3, 4]
M327: [2, 2, 3, 4, 4, 3, 3, 3, 3, 3]
M328: [3, 2, 4, 3, 4, 3, 3, 3, 3, 4]
M329: [3, 2, 4, 4, 4, 3, 3, 3, 2, 4]
M330: [4, 2, 4, 3, 4, 3, 3, 3, 3, 5]
M331: [3, 2, 3, 4, 5, 3, 3, 3, 3, 3]
M332: [4, 2, 4, 4, 4, 3, 3, 3, 4, 5]
M333: [3, 3, 2, 3, 4, 3, 3, 3, 3, 3]
M334: [3, 3, 3, 3, 5, 3, 3, 3, 3, 3]
M335: [4, 3, 3, 2, 4, 3, 3, 3, 3, 4]
M336: [4, 3, 4, 2, 4, 3, 3, 3, 4, 4]
M337: [4, 3, 4, 3, 4, 3, 3, 3, 4, 5]
M338: [3, 2, 3, 3, 4, 3, 3, 3, 5, 1]
M339: [4, 3, 4, 4, 4, 3, 3, 3, 5, 5]
M340: [3, 2, 3, 5, 4, 2, 2, 2, 2, 5]
M341: [3, 1, 4, 4, 4, 3, 3, 1, 5, 2]
M342: [3, 2, 3, 4, 4, 3, 3, 1, 5, 2]
M343: [4, 2, 3, 4, 4, 2, 2, 1, 4, 2]
M344: [4, 3, 2, 3, 4, 3, 3, 1, 3, 6]
M345: [2, 1, 2, 4, 5, 2, 2, 3, 1, 2]
M346: [2, 1, 2, 4, 5, 3, 3, 4, 1, 5]
M347: [3, 1, 3, 4, 4, 2, 2, 3, 1, 3]
M348: [2, 2, 2, 4, 4, 2, 2, 3, 1, 2]
M349: [2, 1, 2, 5, 6, 2, 2, 2, 3, 3]
M350: [2, 1, 2, 5, 6, 3, 3, 4, 4, 6]
M351: [3, 1, 3, 5, 5, 2, 2, 3, 3, 3]
M352: [2, 2, 2, 5, 5, 2, 2, 3, 3, 2]
M353: [2, 1, 3, 5, 5, 3, 3, 3, 5, 2]
M354: [3, 1, 3, 4, 5, 3, 3, 3, 5, 2]
